MemberID,TotalAttendance,Went,NoShow,DidntGo,WentPct,NoShowPct,DidntGoPct,fit.cluster
1,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
2,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
3,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
4,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
5,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
6,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
7,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
8,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
9,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
10,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
11,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
12,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
13,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
14,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
15,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
16,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
17,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
18,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
19,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
20,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
21,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
22,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
23,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
24,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
25,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
26,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
27,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
28,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
29,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
30,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
31,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
32,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
33,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
34,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
35,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
36,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
37,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
38,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
39,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
40,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
41,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
42,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
43,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
44,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
45,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
46,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
47,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
48,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
49,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
50,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
51,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
52,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
53,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
54,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
55,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
56,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
57,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
58,-0.080994009,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
59,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
60,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
61,-0.080994009,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
62,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
63,8.839074692,11.92646919,-0.396965509,-0.222887196,1.757440387,-0.428750088,-0.211529613,1
64,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
65,2.149023166,-0.379361962,4.430483418,2.138013484,-0.488564011,1.852259589,1.033683223,5
66,4.379040342,4.542970497,0.809896723,6.859814842,1.226675243,-0.117749968,1.825480227,1
67,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
68,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
69,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
70,0.365009426,0.441026781,0.809896723,-0.222887196,1.083607624,1.281921636,-0.211529613,4
71,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
72,1.257016296,0.441026781,2.016758955,-0.222887196,0.297521806,1.281921636,-0.211529613,5
73,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
74,0.365009426,-0.379361962,0.809896723,-0.222887196,-0.488564011,1.281921636,-0.211529613,4
75,1.257016296,0.441026781,0.809896723,-0.222887196,0.297521806,0.426585774,-0.211529613,6
76,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
77,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
78,1.703019731,0.441026781,0.809896723,2.138013484,0.140304643,0.255518602,1.282426999,2
79,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
80,0.365009426,-0.379361962,2.016758955,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
81,1.257016296,-0.379361962,0.809896723,6.859814842,-0.488564011,0.426585774,5.390807681,2
82,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
83,0.365009426,0.441026781,0.809896723,-0.222887196,1.083607624,1.281921636,-0.211529613,4
84,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
85,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
86,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
87,-0.080994009,-0.379361962,-0.396965509,2.138013484,-0.488564011,-0.428750088,7.258253446,2
88,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
89,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
90,1.257016296,0.441026781,0.809896723,4.498914163,0.297521806,0.426585774,3.523361916,2
91,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
92,1.257016296,1.261415524,2.016758955,-0.222887196,1.083607624,1.281921636,-0.211529613,5
93,1.703019731,2.081804267,2.016758955,-0.222887196,1.398041951,0.939787291,-0.211529613,5
94,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
95,6.163054082,6.183747983,3.223621187,2.138013484,1.188314255,0.255518602,0.286704917,1
96,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
97,2.149023166,4.542970497,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,1
98,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
99,6.609057517,7.824525469,2.016758955,2.138013484,1.476650533,-0.001082157,0.255331828,1
100,-0.526997444,-0.379361962,-0.396965509,-0.222887196,-0.488564011,-0.428750088,-0.211529613,6
101,0.365009426,0.441026781,0.809896723,-0.222887196,1.083607624,1.281921636,-0.211529613,4
102,1.257016296,1.261415524,0.809896723,-0.222887196,1.083607624,0.426585774,-0.211529613,3
103,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
104,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
105,0.365009426,0.441026781,0.809896723,-0.222887196,1.083607624,1.281921636,-0.211529613,4
106,-0.080994009,-0.379361962,0.809896723,-0.222887196,-0.488564011,2.99259336,-0.211529613,4
107,3.487033471,2.90219301,5.63734565,-0.222887196,0.908782138,1.472148332,-0.211529613,5
108,-0.080994009,0.441026781,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
109,0.365009426,1.261415524,-0.396965509,-0.222887196,2.655779259,-0.428750088,-0.211529613,3
